id,link,screen_name,source,text,time,user_id
926267999094370304,https://www.twitter.com/RosenforNevada/statuses/926267999094370304,RosenforNevada,Twitter for iPhone,I wake up thinking about how to help Nevadans w/ everyday concerns like health care &amp; college affordability—not tax breaks for billionaires. https://twitter.com/rileysnyder/status/925850457389412353 QT @RileySnyder Heller says he wakes up every morning with 2 goals -- tax reform &amp; confirming conservative judges,2017-11-03T02:01:14Z,4749863113
926267939086524416,https://www.twitter.com/DeanHeller/statuses/926267939086524416,DeanHeller,TweetDeck,Democrats get 4 Pinocchios for their whopper of a lie to Americans about our #taxcut for the middle-class http://wapo.st/2yo6faR #taxreform,2017-11-03T02:01:00Z,41363507
926297241404325888,https://www.twitter.com/CA_DWR/statuses/925828795042488320,DougLaMalfa,Twitter for iPad,"RT @CA_DWR Milestone reached! Main #OrovilleSpillway can now pass flows up to 100,000 cfs. Work to continue. Details here: http://bit.ly/2z3EOCV http://pbs.twimg.com/media/DNkzXvqUIAABS3S.jpg http://pbs.twimg.com/media/DNkzXvmUEAEDnsx.jpg http://pbs.twimg.com/media/DNkzXvpUIAAMY9G.jpg http://pbs.twimg.com/media/DNkzXvpVAAAyJtF.jpg",2017-11-03T03:57:26Z,19808819
926297050039193601,https://www.twitter.com/CASenatorJim/statuses/925864423331323904,DougLaMalfa,Twitter for iPad,RT @CASenatorJim What a difference a day makes! #NotAllGasTaxIncreaseGoesToRoadRepair. http://pbs.twimg.com/media/DNlUyB0VQAA3svA.jpg http://pbs.twimg.com/media/DNlUyB1UMAAYSc9.jpg,2017-11-03T03:56:41Z,19808819
926296630718095361,https://www.twitter.com/tomangell/statuses/926156978593857536,RepMattGaetz,Twitter Lite,"RT @tomangell GOP Rep. @mattgaetz *slams* Chris Christie’s ignorant remarks comparing medical marijuana to opioids.

https://www.marijuanamoment.net/marijuana-poll-military-veterans-strongly-support-legal-access/ http://pbs.twimg.com/media/DNpe2C7W4AAddge.jpg",2017-11-03T03:55:01Z,818948638890217473
926295854528565248,https://www.twitter.com/BarbaraComstock/statuses/926295854528565248,BarbaraComstock,Twitter Web Client,"Glad to work with Loudoun Sup. Tony Buffington on this important facility for our veterans, active duty, &amp; families. http://www.loudountimes.com/news/article/new_support_center_for_veterans_coming_to_leesburg432",2017-11-03T03:51:56Z,37481291
926294868133019648,https://www.twitter.com/MurrayCampaign/statuses/926294868133019648,MurrayCampaign,Sprout Social,"It’s never too early to teach women how to lead! #RunLikeAGirl
https://twitter.com/emilyslist/status/925820029878317056 QT @emilyslist Today we held a training for our interns to prepare them to volunteer and work on our campaigns. They're ready to help our women win! http://pbs.twimg.com/media/DNksYKiUEAA5-Iy.jpg",2017-11-03T03:48:00Z,158470209
926292786172788736,https://www.twitter.com/tedlieu/statuses/926292786172788736,tedlieu,Twitter for Android,@grimmryanm They would need to weigh their choices against the prospect of getting free pizza.,2017-11-03T03:39:44Z,21059255
926292657629954053,https://www.twitter.com/NWFSportsmen/statuses/926149181219196928,EnergyDems,Twitter Web Client,"RT @NWFSportsmen .@MartinHeinrich: “It’s called the Arctic National Wildlife Refuge – it’s a #wildlife refuge, not a petroleum reserve, let’s remember” #ANWR http://pbs.twimg.com/media/DNpXxVHUIAADndB.jpg",2017-11-03T03:39:13Z,277124730
926292176685928448,https://www.twitter.com/alaskawild/statuses/926246314941272065,EnergyDems,Twitter Web Client,"RT @alaskawild The #ArcticRefuge is wild and spectacular, and it belongs to all Americans. Including you. http://www.alaskawild.org/why-you-should-care-about-the-arctic-refuge-even-if-you-never-go-there/ #ProtectTheArctic http://pbs.twimg.com/media/DNqwHRAVoAAZOt5.jpg",2017-11-03T03:37:19Z,277124730
926291929733697537,https://www.twitter.com/SenatorCantwell/statuses/926255611678986240,EnergyDems,Twitter Web Client,"RT @SenatorCantwell The sportsmen, fishermen &amp; hunters I know value #PublicLands &amp; don't want a “for sale'' sign on them just to give tax breaks to millionaires",2017-11-03T03:36:20Z,277124730
